pathway,pval,padj,log2err,ES,NES,size,leadingEdge,topGenes
GSE20366_TREG_VS_NAIVE_CD4_TCELL_DEC205_CONVERSION_UP,0.00327433551609133,0.0143200741780942,0.431707695803346,0.607708136476018,1.18124862463054,196,PDGFRA|COL14A1|SWAP70|DENND5A|AXL|CEMIP|FRMD6|HLA-DRB1|SIK1|HIBADH|CYTH1|SLC16A6|SLC2A3|TNFRSF9|CD83|CRELD1|MAGED2|VEZF1|NCEH1|GADD45B|KLF4|MCOLN3|KIF12|HLA-DQA1|ZNF281|AIG1|IL10|IL2RA|ITGA6|P2RX7|RNF130|ETS2|ATXN7|VAV2|NETO2|SMPX|SESN1|RREB1|AOPEP|RAB39A|CACNA1D|WDR82|GSTM4|KLF11|SLC16A9|ARHGAP17|ESCO2|CNR2|TOB2|RRAGD|INPP5F|LAD1|CISH|MTHFD2|ACER3|BPNT1|TNIK,"PDGFRA, COL14A1, SWAP70, DENND5A, AXL"
GSE20366_TREG_VS_NAIVE_CD4_TCELL_DN,0.00643228752291368,0.0226431393147655,0.407017918923954,0.603981529115182,1.17420527719209,194,IL18R1|SMIM3|RASSF8|IL1RL2|MMP10|THBS4|TGFBR2|TCF7|EMP1|GRK5|DUSP6|TTL|EVI2B|OLR1|TGFB3|SLCO3A1|FYB1|ITGB5|MAN1C1|VAT1L|NRIP3|PNMA8A|DNAJC6|CD4|CPVL|PDE6B|CCL7|NCALD|PDE5A|KCNK3|PTPN11|SIDT1|SHLD1|ARL2|CDK5R1|HPCAL1|SLAMF7|MSLN|MCTP2|ABLIM2|LITAF,"IL18R1, SMIM3, RASSF8, IL1RL2, MMP10"
GSE20366_TREG_VS_NAIVE_CD4_TCELL_HOMEOSTATIC_CONVERSION_DN,0.00680409202256532,0.0233941681961455,0.407017918923954,0.599485610748146,1.1654340836082,193,RASSF8|ETV3|LIMS4|MMP10|BCL6|TGFBR2|MAP4K4|HIBADH|TCF7|WBP1|STAU2|EMP1|PIP4K2A|BZW2|CHST15|KSR1|VAT1L|MED13L|PPP2R2D|APPL2|PPTC7|P2RX7|IKZF1|TLE4|STK4|FAM120C|NRBP1|PLCB4|MICU3|ARHGAP31|MDN1|FNBP1|WDSUB1|RCAN1|TNRC6C|TRAPPC10|SHLD1|PGM2L1|CD9|CDK5R1|HPCAL1|LRP12|ZNF846|B3GNT5|SYNE1|ARHGAP5|TBC1D5|TNFSF11|EGR2|SEMA4A|MARVELD1|PTRH1|GTF2I|MAN2C1|FLVCR1|CYTH3,"RASSF8, ETV3, LIMS4, MMP10, BCL6"
GSE20366_TREG_VS_NAIVE_CD4_TCELL_HOMEOSTATIC_CONVERSION_UP,0.000609066459329393,0.00450968357120487,0.477270815362862,0.630836871044119,1.22614719428965,191,SOCS2|MEDAG|IL1RL1|RIMKLA|HNRNPAB|SRGN|SLC2A3|NPC1|TP53BP2|TNFRSF9|STX1A|RANBP1|TMEM64|RAB26|NABP1|PDLIM4|ETF1|IL4R|IKZF2|CEP57L1|BUB1B|SCD|IL2RA|PTP4A3|ITGA6|SRSF2|IRAK1BP1|CDC14B|TRIM59|NUCB2|SGO2|VAV2|TGFBR1|SESN1|MELK|ADSS2|AOPEP|AGPAT4|S100A6|KPNA2|YWHAZ|TMPRSS4|TENT5A|DUSP4|KLC3|DDN|LANCL2|TEC|PIK3R3|EPSTI1|RRAGD|CASTOR1|LCA5|ATP2A2|ECM2|HIF1A|ENTPD1|IMPDH2,"SOCS2, MEDAG, IL1RL1, RIMKLA, HNRNPAB"
GSE20366_TREG_VS_NAIVE_CD4_TCELL_UP,0.000618225182155339,0.00454983850069609,0.477270815362862,0.630393989680423,1.22528637310683,191,SOCS2|IL1RL1|MYC|SWAP70|MPP1|FRMD6|PHTF2|TMEM237|SLC2A3|CTPS1|TP53BP2|TNFRSF9|RBMS1|CD83|NOP58|SNX9|EIF5A|SYNCRIP|PEAK1|MGST2|MYO1E|CMTM7|GRAMD1C|GNPNAT1|SCD|ITGA6|SRSF2|ACOT9|TRIM59|NUCB2|VAV2|UBASH3B|TGFBR1|ENO2|TFRC|SESN1|TMEM158|BID|ADSS2|GSTM4|TENT5A|MSRB2|SCAMP1|DUSP4|KLC3|DNAI4|GNG12|PIK3R3|RRAGD|USP47|ATP6V0A1|CISH|SLC25A19|LCA5|TPST1|ACER3|LRRC58|ENTPD1|PTCH1|CBL,"SOCS2, IL1RL1, MYC, SWAP70, MPP1"
GSE20366_TREG_VS_TCONV_DN,0.00516815433041816,0.0196405989842412,0.407017918923954,0.604444150432515,1.17501051017594,198,SMOX|ERO1B|SMIM3|RASSF2|MGAT4A|PITPNC1|SPATS1|BTG2|SCRN3|PLPP3|PAG1|RNF170|PLCXD3|EDNRA|OLR1|RAI14|PPM1K|IGFBP4|NXF1|RAB3IP|GNG11|ALDH7A1|ADO|DIPK2A|CSNK1E|CD4|TBC1D24|BLK|PLCB4|NUB1|LEF1|MICAL2|ANKMY2|ATP8B4|TRIOBP|DIPK1A|DZIP1|ARHGAP17|MYLIP|LRP12|RAP1GAP2|DOCK5|SLAMF7,"SMOX, ERO1B, SMIM3, RASSF2, MGAT4A"
GSE20500_CTRL_VS_RETINOIC_ACID_TREATED_CD4_TCELL_DN,0.00934116187841357,0.0291731670971993,0.380730400722792,0.595254012313824,1.15720761585805,193,FGF7|IL18R1|DDX27|CSGALNACT2|FAS|CEBPB|BAZ1A|CRABP2|OSMR|MAMLD1|YBX3|CDV3|KLF3|TNFRSF12A|SNRK|IER5|NRIP3|CD59|CYP2U1|PABPC4|DXO|HAPLN1|PLEK2|SLK|GTF2F1|PPIF|GNAI3|SH3BP5|PFKFB3|MYT1|RPL13P5|S100A6|AKAP8|PLEKHA4|NFKB2|LRRFIP2|RGS17|TBXAS1|ZKSCAN1|ACVR1B|ADRM1|YTHDC1|RB1CC1|SLC25A32|FBRS|COL7A1|GPC4|MEIS3P1|ATP2A2|MYO1B,"FGF7, IL18R1, DDX27, CSGALNACT2, FAS"
GSE20500_RETINOIC_ACID_VS_RARA_ANTAGONIST_TREATED_CD4_TCELL_DN,1.34076372312763e-05,0.000287762152382283,0.593325476396405,0.658590181337,1.27983374279249,190,RGS1|SOCS3|ARF6|NR4A1|CHSY1|CEBPB|IL1R2|ANXA1|ANXA10|YES1|ME1|SFPQ|TP53BP2|PCK1|DAPK2|LIPG|ELK4|FBXO28|MAMLD1|ACYP1|ZBTB43|HGS|CDC37|CDV3|MMP2|PDE4DIP|FFAR3|PTP4A1|SYT17|JMJD6|AGO2|HSPA9|TM4SF1|EIF6|LPXN|CAMSAP2|BACH2|SMAD3|ADNP2|DNAH17|PPIF|MDM4|SUPT6H|PFKFB3|LRRC8B|FASTKD5|LEMD3|DOCK10|KPNA2|TENT5A|TMEM39A|C11orf24|MACO1|PROC|CTTN|CEP70|NUP88|USP6NL|CCDC59|SCARB2|B3GNT3|CAPN2|BEX1|RNF208|BCL10|GAK,"RGS1, SOCS3, ARF6, NR4A1, CHSY1"
GSE20500_RETINOIC_ACID_VS_RARA_ANTAGONIST_TREATED_CD4_TCELL_UP,0.00494507246726243,0.0191513458350577,0.407017918923954,0.608334196237756,1.18266733183915,194,SMOX|KIT|CRISPLD2|LTBP1|OTULINL|CEMIP|CEBPB|PTPRG|TAGLN3|ME1|PPARD|NKX6-1|MEST|PRDX1|TMOD2|ADAMTS3|AHI1|CD200|PCBP3|CYP1A1|OGFRL1|GSTZ1|STK4|RUNDC3B|USP53|MT1G|NBL1|VPS41|CBLB|DIS3|RYK|GYPE|WBP11|NFKB2|REL|CSRNP2|MRPS31|STEAP4|NEUROD1|CD84|DPYSL4|HNRNPC|BTBD7|CHMP1B|ZNF471|CCL5|SLC25A32|FOXA2|EXO1|MRPL39|ECM2|MERTK|LDAH|KDM5B|KIAA0513|ITIH3|TPBG|ADIPOR2|FABP7|DKK2|RORA|TCTN1|PAK5|ZSCAN5A|HMOX1|FOSL1|OR7A17|CTSF|HBB,"SMOX, KIT, CRISPLD2, LTBP1, OTULINL"
GSE20715_0H_VS_24H_OZONE_LUNG_DN,0.0016659388683587,0.00880309562542691,0.45505986738723,0.617343071080244,1.20008539479541,198,SVEP1|NPR3|IL33|KLF9|BASP1|SLC7A6|LRRC59|KMT5A|GFPT2|SLC43A3|PNP|CTPS1|MAFF|PDE4B|SPHK1|EPHA2|NUS1|MGP|OSMR|DUSP6|EPHB2|EIF5B|FST|SNRK|AREG|C1QTNF1|NASP|RAB3IP|RBM15|MYL6B|SLC38A2|GSTA3|PGS1|LYVE1|CDRT4|ABCB7|ALAS1|ZBTB16|TRIB1|ARPC5L|MT2A|ADGRL4|RAB21|FOXO3|CPE|PTHLH|RIOK2|EFNB1|PLAT|DOCK5|CPEB3|CAPN2|PRDX6|OXSR1|MERTK|GDPD1|DAPK1|TCN2,"SVEP1, NPR3, IL33, KLF9, BASP1"
